req_idx,case_name,width,height,steps,num_frames,fps,ok,error,video_id,submit_ts,accepted_ts,completed_ts,create_api_s,e2e_s
32,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_05e5916ff8974feca4da54e493fed349,1776447555.251636,1776447555.4237602,1776451847.9183338,0.17212367698084563,4292.666697740555
33,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_36c7942a6edb4ca0a5476631815f4a9a,1776447555.2519398,1776447555.4232733,1776451999.6069007,0.17133260401897132,4444.3549609184265
34,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_a6a15c21c2ff4b698ce7ce3af7b1448b,1776447555.2522514,1776447555.4228275,1776452152.4067285,0.17057537101209164,4597.154477119446
35,case1_854x480_s3_f80_fps16,854,480,3,80,16,True,,video_gen_4188ea62a48341c487cbd860a5cdcd59,1776447555.252559,1776447555.4174356,1776448125.3978825,0.16487615602090955,570.1453235149384
36,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_a0d87c21937b41f09f8cc79e38ccdf3f,1776447555.2528687,1776447555.4218771,1776452303.938906,0.16900776501279324,4748.686037302017
37,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_e495f7f7d2a343c888fdbca33228a558,1776447555.2531755,1776447555.4213665,1776452455.5584843,0.16819017089437693,4900.305308818817
38,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_2947731d44374ed98821d493a0f98607,1776447555.2534864,1776447555.4208968,1776449312.293207,0.16740998800378293,1757.0397205352783
39,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_de48e71a6a40446583fcfbe833d3f385,1776447555.253789,1776447555.4204404,1776449528.2575488,0.16665083600673825,1973.0037598609924
40,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_72e8e18b7db04077a3a1232e7dcde3c6,1776447555.2540944,1776447555.4198837,1776452606.2985623,0.1657886210596189,5051.044467926025
41,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_e669428ef88a43caa95c599c0c5a604e,1776447555.2543974,1776447555.4101646,1776449748.1910198,0.1557663040002808,2192.9366223812103
42,case1_854x480_s3_f80_fps16,854,480,3,80,16,True,,video_gen_9e324cf1c5aa40539e71e705b247b866,1776447555.2547154,1776447555.4168518,1776448376.7691588,0.16213597101159394,821.514443397522
43,case1_854x480_s3_f80_fps16,854,480,3,80,16,True,,video_gen_d0924003d39d4dacb5cd9ace67529a06,1776447555.2550356,1776447555.4334817,1776448628.7300727,0.17844543198589236,1073.475037097931
44,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_73db4cbf371549dc9b161c6af779ea4e,1776447555.2553525,1776447555.4329429,1776452759.1583273,0.17758980800863355,5203.902974843979
45,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_f0eda41cdc9b44ffa9008a74c0da1e36,1776447555.255662,1776447555.4339836,1776449966.0497353,0.17832065001130104,2410.794073343277
46,case1_854x480_s3_f80_fps16,854,480,3,80,16,True,,video_gen_47e2a1fa9edb44fd8b668d302dd25a06,1776447555.2559679,1776447555.4180105,1776448878.652046,0.16204204899258912,1323.3960781097412
47,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_41aa8204d1074cb5a23af0c69bf0e163,1776447555.2562866,1776447555.4296386,1776453364.5211966,0.173351337085478,5809.264909982681
48,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_a087569dab574861b821f1e3bfcd9c47,1776447555.256601,1776447555.440112,1776450182.7723591,0.1835099960444495,2627.515758037567
49,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_da48ca193e804acb89cc301e0135a732,1776447555.2569187,1776447555.4408731,1776453516.5558882,0.18395390396472067,5961.298969507217
