request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00037,1024x1024_25,1024,1024,25,700037,1776523538.007363,1776523541.7836266,1776523648.103579,http://127.0.0.1:18292,200,True,110.09621777303983,
baseline-00038,1536x1536_35,1536,1536,35,700038,1776523538.0076394,1776523541.783646,1776523917.6048949,http://127.0.0.1:18293,200,True,379.59725735499524,
baseline-00039,1024x1024_25,1024,1024,25,700039,1776523538.007929,1776523541.7841513,1776523700.076073,http://127.0.0.1:18294,200,True,162.0681464750087,
baseline-00040,1024x1024_25,1024,1024,25,700040,1776523538.0082119,1776523541.7841802,1776523691.5403888,http://127.0.0.1:18295,200,True,153.5321807990549,
baseline-00041,512x512_20,512,512,20,700041,1776523538.0085094,1776523541.7842047,1776523584.2928042,http://127.0.0.1:18296,200,True,46.28429707000032,
baseline-00042,768x768_20,768,768,20,700042,1776523538.008798,1776523541.78423,1776523647.6472695,http://127.0.0.1:18291,200,True,109.63847297499888,
baseline-00043,768x768_20,768,768,20,700043,1776523538.009093,1776523541.7842572,1776523623.3351538,http://127.0.0.1:18292,200,True,85.32607370393816,
baseline-00044,512x512_20,512,512,20,700044,1776523538.009575,1776523541.7842774,1776523586.443615,http://127.0.0.1:18293,200,True,48.43404045107309,
baseline-00045,768x768_20,768,768,20,700045,1776523538.009917,1776523541.7842987,1776523580.180356,http://127.0.0.1:18294,200,True,42.17044057394378,
baseline-00046,512x512_20,512,512,20,700046,1776523538.0102232,1776523541.7843177,1776523586.3152566,http://127.0.0.1:18295,200,True,48.305034818011336,
baseline-00047,768x768_20,768,768,20,700047,1776523538.0105183,1776523541.784728,1776523646.6014595,http://127.0.0.1:18296,200,True,108.59094219596591,
baseline-00048,1024x1024_25,1024,1024,25,700048,1776523538.0108237,1776523541.7847548,1776523767.1125596,http://127.0.0.1:18291,200,True,229.10173787898384,
baseline-00049,768x768_20,768,768,20,700049,1776523538.011125,1776523541.7847795,1776523623.335415,http://127.0.0.1:18292,200,True,85.3242906340165,
baseline-00050,768x768_20,768,768,20,700050,1776523538.0114236,1776523541.7848039,1776523649.2857585,http://127.0.0.1:18293,200,True,111.27433606109116,
baseline-00051,768x768_20,768,768,20,700051,1776523538.0117192,1776523541.7848241,1776523580.1796627,http://127.0.0.1:18294,200,True,42.16794747195672,
baseline-00052,768x768_20,768,768,20,700052,1776523538.0120108,1776523541.7848434,1776523795.7659495,http://127.0.0.1:18295,200,True,257.75394087296445,
baseline-00053,1536x1536_35,1536,1536,35,700053,1776523538.0123096,1776523541.7848623,1776523965.0727897,http://127.0.0.1:18296,200,True,427.0604820610024,
baseline-00054,1024x1024_25,1024,1024,25,700054,1776523538.0126033,1776523541.7854114,1776523807.754309,http://127.0.0.1:18291,200,True,269.74170715594664,
baseline-00055,1024x1024_25,1024,1024,25,700055,1776523538.0128953,1776523541.7854404,1776523690.2457654,http://127.0.0.1:18292,200,True,152.23287465807516,
baseline-00056,768x768_20,768,768,20,700056,1776523538.0131876,1776523541.7854629,1776523649.2413702,http://127.0.0.1:18293,200,True,111.22818356193602,
baseline-00057,1024x1024_25,1024,1024,25,700057,1776523538.0134885,1776523541.7854831,1776523755.789114,http://127.0.0.1:18294,200,True,217.77562729700003,
baseline-00058,768x768_20,768,768,20,700058,1776523538.0137837,1776523541.7855034,1776523795.8315997,http://127.0.0.1:18295,200,True,257.81781712791417,
baseline-00059,768x768_20,768,768,20,700059,1776523538.0140831,1776523541.7855282,1776523646.6491537,http://127.0.0.1:18296,200,True,108.63507193198893,
baseline-00060,1536x1536_35,1536,1536,35,700060,1776523538.0143797,1776523541.7855487,1776524318.1308792,http://127.0.0.1:18291,200,True,780.1165010650875,
baseline-00061,1024x1024_25,1024,1024,25,700061,1776523538.0146759,1776523541.7855682,1776523769.3036742,http://127.0.0.1:18292,200,True,231.28900005691685,
baseline-00062,1024x1024_25,1024,1024,25,700062,1776523538.01499,1776523541.7860465,1776523808.8146791,http://127.0.0.1:18293,200,True,270.79969118896406,
baseline-00063,1024x1024_25,1024,1024,25,700063,1776523538.0152898,1776523541.7860777,1776523780.4990044,http://127.0.0.1:18294,200,True,242.48371636704542,
baseline-00064,1024x1024_25,1024,1024,25,700064,1776523538.0155904,1776523541.786102,1776523716.5455863,http://127.0.0.1:18295,200,True,178.52999754506163,
baseline-00065,1024x1024_25,1024,1024,25,700065,1776523538.0158906,1776523541.7861247,1776523827.3762286,http://127.0.0.1:18296,200,True,289.3603397900006,
baseline-00066,768x768_20,768,768,20,700066,1776523538.016189,1776523541.786145,1776523647.6755147,http://127.0.0.1:18291,200,True,109.6593284929404,
baseline-00067,512x512_20,512,512,20,700067,1776523538.0164914,1776523541.786166,1776523561.0386434,http://127.0.0.1:18292,200,True,23.022152772988193,
baseline-00068,768x768_20,768,768,20,700068,1776523538.0167975,1776523541.7861934,1776523649.28548,http://127.0.0.1:18293,200,True,111.26868361793458,
baseline-00069,768x768_20,768,768,20,700069,1776523538.017099,1776523541.7862127,1776523580.2056937,http://127.0.0.1:18294,200,True,42.18859638599679,
baseline-00070,768x768_20,768,768,20,700070,1776523538.0174031,1776523541.7862315,1776523795.8321428,http://127.0.0.1:18295,200,True,257.8147407070501,
baseline-00071,1536x1536_35,1536,1536,35,700071,1776523538.0179124,1776523541.7868183,1776524048.7630653,http://127.0.0.1:18296,200,True,510.7451542119961,
baseline-00072,1536x1536_35,1536,1536,35,700072,1776523538.0182762,1776523541.7868485,1776524520.4124937,http://127.0.0.1:18291,200,True,982.3942199100275,
baseline-00073,768x768_20,768,768,20,700073,1776523538.0186,1776523541.7868743,1776523727.705348,http://127.0.0.1:18292,200,True,189.68675012292806,
baseline-00074,1024x1024_25,1024,1024,25,700074,1776523538.0189295,1776523541.7869003,1776523833.8221195,http://127.0.0.1:18293,200,True,295.80319168802816,
baseline-00075,768x768_20,768,768,20,700075,1776523538.0192513,1776523541.7869225,1776523675.3997524,http://127.0.0.1:18294,200,True,137.3805025840411,
baseline-00076,1536x1536_35,1536,1536,35,700076,1776523538.0195723,1776523541.7869418,1776523966.891098,http://127.0.0.1:18295,200,True,428.871528308955,
baseline-00077,1024x1024_25,1024,1024,25,700077,1776523538.0198867,1776523541.7869625,1776523881.4518704,http://127.0.0.1:18296,200,True,343.4319854689529,
baseline-00078,768x768_20,768,768,20,700078,1776523538.0201962,1776523541.7869816,1776523647.721627,http://127.0.0.1:18291,200,True,109.70143370504957,
baseline-00079,768x768_20,768,768,20,700079,1776523538.0205092,1776523541.7870004,1776523727.7347617,http://127.0.0.1:18292,200,True,189.71425379195716,
baseline-00080,1024x1024_25,1024,1024,25,700080,1776523538.020824,1776523541.7870204,1776524061.4996111,http://127.0.0.1:18293,200,True,523.4787883990211,
baseline-00081,768x768_20,768,768,20,700081,1776523538.0211365,1776523541.7876112,1776523675.448779,http://127.0.0.1:18294,200,True,137.42764371004887,
baseline-00082,1024x1024_25,1024,1024,25,700082,1776523538.021447,1776523541.7876406,1776523757.879695,http://127.0.0.1:18295,200,True,219.85824990808032,
baseline-00083,1536x1536_35,1536,1536,35,700083,1776523538.0217724,1776523541.7876618,1776524421.176324,http://127.0.0.1:18296,200,True,883.1545538620558,
baseline-00084,768x768_20,768,768,20,700084,1776523538.0220823,1776523541.7876883,1776523647.7220354,http://127.0.0.1:18291,200,True,109.6999540909892,
baseline-00085,768x768_20,768,768,20,700085,1776523538.022398,1776523541.7877104,1776523727.7768424,http://127.0.0.1:18292,200,True,189.7544456020696,
baseline-00086,1536x1536_35,1536,1536,35,700086,1776523538.0227156,1776523541.7877364,1776524019.2010198,http://127.0.0.1:18293,200,True,481.17830603395123,
baseline-00087,1024x1024_25,1024,1024,25,700087,1776523538.0230482,1776523541.787758,1776523820.6222932,http://127.0.0.1:18294,200,True,282.59924647107255,
baseline-00088,512x512_20,512,512,20,700088,1776523538.0233853,1776523541.7877767,1776523586.391147,http://127.0.0.1:18295,200,True,48.36776255595032,
baseline-00089,512x512_20,512,512,20,700089,1776523538.0237064,1776523541.7877953,1776523584.3181775,http://127.0.0.1:18296,200,True,46.2944727500435,
baseline-00090,512x512_20,512,512,20,700090,1776523538.0240297,1776523541.7885926,1776523585.558434,http://127.0.0.1:18291,200,True,47.53440538002178,
baseline-00091,1024x1024_25,1024,1024,25,700091,1776523538.0243578,1776523541.7886226,1776523809.1436405,http://127.0.0.1:18292,200,True,271.1192839429714,
baseline-00092,1024x1024_25,1024,1024,25,700092,1776523538.0246744,1776523541.78865,1776524086.4181845,http://127.0.0.1:18293,200,True,548.3935118289664,
baseline-00093,1024x1024_25,1024,1024,25,700093,1776523538.024999,1776523541.7886744,1776523964.2384944,http://127.0.0.1:18294,200,True,426.2134970170446,
baseline-00094,512x512_20,512,512,20,700094,1776523538.0253255,1776523541.7886946,1776523586.3914227,http://127.0.0.1:18295,200,True,48.36609827692155,
baseline-00095,768x768_20,768,768,20,700095,1776523538.0256376,1776523541.7887177,1776523646.649584,http://127.0.0.1:18296,200,True,108.62394769594539,
baseline-00096,1536x1536_35,1536,1536,35,700096,1776523538.0259712,1776523541.7887397,1776524766.0696645,http://127.0.0.1:18291,200,True,1228.0436949790455,
baseline-00097,1024x1024_25,1024,1024,25,700097,1776523538.0262985,1776523541.788759,1776523854.397074,http://127.0.0.1:18292,200,True,316.370779225952,
baseline-00098,1536x1536_35,1536,1536,35,700098,1776523538.026846,1776523541.788778,1776524195.2852416,http://127.0.0.1:18293,200,True,657.2583973419387,
baseline-00099,1536x1536_35,1536,1536,35,700099,1776523538.0272317,1776523541.7887967,1776524113.2638943,http://127.0.0.1:18294,200,True,575.2366666189628,
baseline-00100,512x512_20,512,512,20,700100,1776523538.0275812,1776523561.0399747,1776523586.391585,http://127.0.0.1:18295,200,True,48.364005133043975,
baseline-00101,1024x1024_25,1024,1024,25,700101,1776523538.0279202,1776523561.0407698,1776524073.6217804,http://127.0.0.1:18296,200,True,535.5938619320514,
baseline-00102,1024x1024_25,1024,1024,25,700102,1776523538.0283022,1776523561.041425,1776523915.301472,http://127.0.0.1:18291,200,True,377.2731715349946,
baseline-00103,1024x1024_25,1024,1024,25,700103,1776523538.028718,1776523561.0420132,1776523878.9899096,http://127.0.0.1:18292,200,True,340.9611936210422,
baseline-00104,768x768_20,768,768,20,700104,1776523538.0291736,1776523566.960782,1776523670.0532095,http://127.0.0.1:18293,200,True,132.02403740305454,
baseline-00105,1024x1024_25,1024,1024,25,700105,1776523538.0296826,1776523567.051145,1776523988.9034612,http://127.0.0.1:18294,200,True,450.87378082505893,
baseline-00106,512x512_20,512,512,20,700106,1776523538.0302258,1776523567.0799563,1776523666.8030012,http://127.0.0.1:18295,200,True,128.7727769910125,
baseline-00107,1024x1024_25,1024,1024,25,700107,1776523538.030837,1776523567.2079096,1776524098.4573672,http://127.0.0.1:18296,200,True,560.4265319349943,
baseline-00108,1024x1024_25,1024,1024,25,700108,1776523538.0314798,1776523580.1296914,1776523960.5808809,http://127.0.0.1:18291,200,True,422.54940290702507,
baseline-00109,1536x1536_35,1536,1536,35,700109,1776523538.032164,1776523580.207492,1776523987.3169887,http://127.0.0.1:18292,200,True,449.284826621064,
baseline-00110,1536x1536_35,1536,1536,35,700110,1776523538.032898,1776523580.2082698,1776524387.5237768,http://127.0.0.1:18293,200,True,849.4908811920322,
baseline-00111,768x768_20,768,768,20,700111,1776523538.0336654,1776523580.2088385,1776523675.449368,http://127.0.0.1:18294,200,True,137.4157034510281,
baseline-00112,1024x1024_25,1024,1024,25,700112,1776523538.034482,1776523584.3193161,1776523820.5350852,http://127.0.0.1:18295,200,True,282.50060526595917,
baseline-00113,768x768_20,768,768,20,700113,1776523538.0353546,1776523584.3200073,1776523675.8872788,http://127.0.0.1:18296,200,True,137.85192551999353,
baseline-00114,1536x1536_35,1536,1536,35,700114,1776523538.0362606,1776523585.5589898,1776524914.505852,http://127.0.0.1:18291,200,True,1376.4695985839935,
