request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00087,1024x1024_25,1024,1024,25,700087,1776515343.0347204,,1776515711.5766222,,200,True,368.5419037459651,
baseline-00088,512x512_20,512,512,20,700088,1776515343.0350688,,1776515697.5414357,,200,True,354.5063681579195,
baseline-00089,512x512_20,512,512,20,700089,1776515343.035388,,1776515848.7533486,,200,True,505.7179616530193,
baseline-00090,512x512_20,512,512,20,700090,1776515343.03571,,1776515923.5658317,,200,True,580.530122251017,
baseline-00091,1024x1024_25,1024,1024,25,700091,1776515343.036037,,1776515651.6737664,,200,True,308.6377332069678,
baseline-00092,1024x1024_25,1024,1024,25,700092,1776515343.0363503,,1776515800.4577475,,200,True,457.4213988559786,
baseline-00093,1024x1024_25,1024,1024,25,700093,1776515343.036677,,1776515735.786239,,200,True,392.74956346699037,
baseline-00094,512x512_20,512,512,20,700094,1776515343.037,,1776515714.6114056,,200,True,371.5744073280366,
baseline-00095,768x768_20,768,768,20,700095,1776515343.0373151,,1776515866.624899,,200,True,523.5875852989266,
baseline-00096,1536x1536_35,1536,1536,35,700096,1776515343.0376477,,1776516007.4226618,,200,True,664.3850159310969,
baseline-00097,1024x1024_25,1024,1024,25,700097,1776515343.037968,,1776515675.9564078,,200,True,332.9184437210206,
baseline-00098,1536x1536_35,1536,1536,35,700098,1776515343.0385003,,1776515883.100199,,200,True,540.0617002819199,
baseline-00099,1536x1536_35,1536,1536,35,700099,1776515343.0389013,,1776515818.7586846,,200,True,475.71978510008194,
baseline-00100,512x512_20,512,512,20,700100,1776515343.0392528,,1776515731.762862,,200,True,388.72361051396,
baseline-00101,1024x1024_25,1024,1024,25,700101,1776515343.0395925,,1776515891.1515555,,200,True,548.1119652440539,
baseline-00102,1024x1024_25,1024,1024,25,700102,1776515343.0399716,,1776516030.7963412,,200,True,687.7563709629467,
baseline-00103,1024x1024_25,1024,1024,25,700103,1776515343.0403924,,1776515700.0189154,,200,True,356.97852444299497,
baseline-00104,768x768_20,768,768,20,700104,1776515343.040853,,1776515898.103592,,200,True,555.0627417049836,
baseline-00105,1024x1024_25,1024,1024,25,700105,1776515343.0413654,,1776515843.1282928,,200,True,500.0869295730954,
baseline-00106,512x512_20,512,512,20,700106,1776515343.0419087,,1776515748.6531115,,200,True,405.6112039319705,
baseline-00107,1024x1024_25,1024,1024,25,700107,1776515343.0425081,,1776515917.8495767,,200,True,574.8070701629622,
baseline-00108,1024x1024_25,1024,1024,25,700108,1776515343.0431585,,1776516055.2379138,,200,True,712.1947565570008,
baseline-00109,1536x1536_35,1536,1536,35,700109,1776515343.0438418,,1776515783.995799,,200,True,440.9519596470054,
baseline-00110,1536x1536_35,1536,1536,35,700110,1776515343.0445688,,1776515980.8642726,,200,True,637.8197055211058,
